DateTimeUtc,forecast_consumption,model,forecast_day,actual_consumption,error,abs_error
2025-02-16 00:00:00+00:00,539.4432229166672,RF,2025-02-16,538.58,0.863222916667155,0.863222916667155
2025-02-16 00:00:00+00:00,548.65771484375,XGB,2025-02-16,538.58,10.077714843749959,10.077714843749959
2025-02-16 01:00:00+00:00,501.51751708984375,XGB,2025-02-16,493.964,7.553517089843751,7.553517089843751
2025-02-16 01:00:00+00:00,501.7492354999989,RF,2025-02-16,493.964,7.785235499998919,7.785235499998919
2025-02-16 02:00:00+00:00,455.76483016666555,RF,2025-02-16,447.168,8.59683016666554,8.59683016666554
2025-02-16 02:00:00+00:00,451.6004943847656,XGB,2025-02-16,447.168,4.432494384765619,4.432494384765619
2025-02-16 03:00:00+00:00,458.06991376190496,RF,2025-02-16,468.479,-10.409086238095028,10.409086238095028
2025-02-16 03:00:00+00:00,461.5513610839844,XGB,2025-02-16,468.479,-6.92763891601561,6.92763891601561
2025-02-16 04:00:00+00:00,457.9596920833326,RF,2025-02-16,447.925,10.034692083332573,10.034692083332573
2025-02-16 04:00:00+00:00,456.1575622558594,XGB,2025-02-16,447.925,8.232562255859364,8.232562255859364
2025-02-16 05:00:00+00:00,459.67894579761946,RF,2025-02-16,462.282,-2.6030542023805197,2.6030542023805197
2025-02-16 05:00:00+00:00,457.2616271972656,XGB,2025-02-16,462.282,-5.020372802734357,5.020372802734357
2025-02-16 06:00:00+00:00,462.0209152500009,RF,2025-02-16,466.565,-4.544084749999115,4.544084749999115
2025-02-16 06:00:00+00:00,460.3522644042969,XGB,2025-02-16,466.565,-6.212735595703123,6.212735595703123
2025-02-16 07:00:00+00:00,496.1612424999992,RF,2025-02-16,513.63,-17.468757500000777,17.468757500000777
2025-02-16 07:00:00+00:00,499.5220642089844,XGB,2025-02-16,513.63,-14.10793579101562,14.10793579101562
2025-02-16 08:00:00+00:00,592.072021484375,XGB,2025-02-16,597.295,-5.222978515624959,5.222978515624959
2025-02-16 08:00:00+00:00,585.5041813333332,RF,2025-02-16,597.295,-11.790818666666723,11.790818666666723
2025-02-16 09:00:00+00:00,620.0368041992188,XGB,2025-02-16,625.127,-5.090195800781203,5.090195800781203
2025-02-16 09:00:00+00:00,623.4061600000009,RF,2025-02-16,625.127,-1.7208399999990434,1.7208399999990434
2025-02-16 10:00:00+00:00,685.534423828125,XGB,2025-02-16,686.496,-0.9615761718749809,0.9615761718749809
2025-02-16 10:00:00+00:00,683.9006308333337,RF,2025-02-16,686.496,-2.5953691666662735,2.5953691666662735
2025-02-16 11:00:00+00:00,724.0413818359375,XGB,2025-02-16,714.423,9.618381835937498,9.618381835937498
2025-02-16 11:00:00+00:00,713.3471535558069,RF,2025-02-16,714.423,-1.0758464441930755,1.0758464441930755
2025-02-16 12:00:00+00:00,715.4354248046875,XGB,2025-02-16,707.546,7.889424804687451,7.889424804687451
2025-02-16 12:00:00+00:00,711.2646075789166,RF,2025-02-16,707.546,3.7186075789165898,3.7186075789165898
2025-02-16 13:00:00+00:00,750.6780395507812,XGB,2025-02-16,743.737,6.941039550781284,6.941039550781284
2025-02-16 13:00:00+00:00,743.3844226435591,RF,2025-02-16,743.737,-0.35257735644086097,0.35257735644086097
2025-02-16 14:00:00+00:00,708.5634775843251,RF,2025-02-16,685.073,23.490477584325163,23.490477584325163
2025-02-16 14:00:00+00:00,710.950439453125,XGB,2025-02-16,685.073,25.87743945312502,25.87743945312502
2025-02-16 15:00:00+00:00,763.155517578125,XGB,2025-02-16,764.898,-1.7424824218750246,1.7424824218750246
2025-02-16 15:00:00+00:00,762.6066065324475,RF,2025-02-16,764.898,-2.2913934675525525,2.2913934675525525
2025-02-16 16:00:00+00:00,799.8067016601562,XGB,2025-02-16,800.64,-0.8332983398437364,0.8332983398437364
2025-02-16 16:00:00+00:00,797.521425,RF,2025-02-16,800.64,-3.1185749999999643,3.1185749999999643
2025-02-16 17:00:00+00:00,858.8960571289062,XGB,2025-02-16,861.541,-2.6449428710938037,2.6449428710938037
2025-02-16 17:00:00+00:00,861.0093925000015,RF,2025-02-16,861.541,-0.5316074999985858,0.5316074999985858
2025-02-16 18:00:00+00:00,858.1355174999991,RF,2025-02-16,856.503,1.6325174999990395,1.6325174999990395
2025-02-16 18:00:00+00:00,854.8829956054688,XGB,2025-02-16,856.503,-1.6200043945312927,1.6200043945312927
2025-02-16 19:00:00+00:00,838.2296142578125,XGB,2025-02-16,841.05,-2.8203857421874545,2.8203857421874545
2025-02-16 19:00:00+00:00,844.9176974999992,RF,2025-02-16,841.05,3.867697499999281,3.867697499999281
2025-02-16 20:00:00+00:00,788.4136962890625,XGB,2025-02-16,785.721,2.6926962890624964,2.6926962890624964
2025-02-16 20:00:00+00:00,785.6194305755492,RF,2025-02-16,785.721,-0.10156942445075856,0.10156942445075856
2025-02-16 21:00:00+00:00,704.9571533203125,XGB,2025-02-16,699.385,5.572153320312509,5.572153320312509
2025-02-16 21:00:00+00:00,703.5909472100257,RF,2025-02-16,699.385,4.20594721002567,4.20594721002567
2025-02-16 22:00:00+00:00,650.8933715820312,XGB,2025-02-16,655.125,-4.23162841796875,4.23162841796875
2025-02-16 22:00:00+00:00,655.3528512976168,RF,2025-02-16,655.125,0.22785129761678036,0.22785129761678036
2025-02-16 23:00:00+00:00,564.9820246952704,RF,2025-02-16,557.376,7.606024695270435,7.606024695270435
2025-02-16 23:00:00+00:00,555.269287109375,XGB,2025-02-16,557.376,-2.1067128906249764,2.1067128906249764
