DateTimeUtc,forecast_consumption,model,forecast_day,actual_consumption,error,abs_error,spot_eur_per_mwh,impact_eur,abs_impact_eur
2025-02-16 17:00:00+00:00,858.8960571289062,XGB,2025-02-16,861.541,-2.6449428710938037,2.6449428710938037,173.3475,-0.45849423434693315,0.45849423434693315
2025-02-16 17:00:00+00:00,861.0093925000015,RF,2025-02-16,861.541,-0.5316074999985858,0.5316074999985858,173.3475,-0.09215283110600486,0.09215283110600486
2025-02-16 18:00:00+00:00,858.1355174999991,RF,2025-02-16,856.503,1.6325174999990395,1.6325174999990395,170.9425,0.2790666227435858,0.2790666227435858
2025-02-16 18:00:00+00:00,854.8829956054688,XGB,2025-02-16,856.503,-1.6200043945312927,1.6200043945312927,170.9425,-0.27692760121216553,0.27692760121216553
2025-02-16 19:00:00+00:00,838.2296142578125,XGB,2025-02-16,841.05,-2.8203857421874545,2.8203857421874545,162.58749999999998,-0.4585594668579027,0.4585594668579027
2025-02-16 19:00:00+00:00,844.9176974999992,RF,2025-02-16,841.05,3.867697499999281,3.867697499999281,162.58749999999998,0.628839267281133,0.628839267281133
2025-02-16 20:00:00+00:00,788.4136962890625,XGB,2025-02-16,785.721,2.6926962890624964,2.6926962890624964,154.5225,0.4160821623266596,0.4160821623266596
2025-02-16 20:00:00+00:00,785.6194305755492,RF,2025-02-16,785.721,-0.10156942445075856,0.10156942445075856,154.5225,-0.01569476138969234,0.01569476138969234
2025-02-16 21:00:00+00:00,704.9571533203125,XGB,2025-02-16,699.385,5.572153320312509,5.572153320312509,144.9025,0.8074189464965833,0.8074189464965833
2025-02-16 21:00:00+00:00,703.5909472100257,RF,2025-02-16,699.385,4.20594721002567,4.20594721002567,144.9025,0.6094522656007447,0.6094522656007447
2025-02-16 22:00:00+00:00,650.8933715820312,XGB,2025-02-16,655.125,-4.23162841796875,4.23162841796875,134.21249999999998,-0.5679374290466308,0.5679374290466308
2025-02-16 22:00:00+00:00,655.3528512976168,RF,2025-02-16,655.125,0.22785129761678036,0.22785129761678036,134.21249999999998,0.03058049228139213,0.03058049228139213
2025-02-16 23:00:00+00:00,564.9820246952704,RF,2025-02-16,557.376,7.606024695270435,7.606024695270435,131.51,1.0002683076750147,1.0002683076750147
2025-02-16 23:00:00+00:00,555.269287109375,XGB,2025-02-16,557.376,-2.1067128906249764,2.1067128906249764,131.51,-0.2770538122460906,0.2770538122460906
